model,symbol,year,quarter,category,company_name,sector,success,error,time_seconds,prediction,confidence,actual_return_30d_pct,correct,input_tokens,output_tokens,total_tokens,cost_usd,summary
gpt-4o-mini,SMCI,2024,2,GAINER,Supermicro,Technology,True,,45.74,UP,0.6,139.68,True,20334,370,20704,0.10722,"Super Micro Computer's earnings call reflects robust performance and optimism driven by strong demand for AI and related technologies, with a record revenue of $3.66 billion—up 133% year-over-year. However, the guidance suggests that gross margins may compress slightly due to increased operational costs and competitive pricing strategies.

**Summary: The most substantial positive driver is the raised fiscal year 2024 revenue guidance to $14.3 billion to $14.7 billion, indicating strong ongoing d"
gpt-4o-mini,APP,2024,3,GAINER,AppLovin Corporation,Technology,True,,27.84,UP,0.7,102.31,True,18839,663,19502,0.10414,"The earnings call highlighted strong revenue growth, with total revenue reaching $1.2 billion, marking a 39% year-over-year increase, and an impressive adjusted EBITDA margin of 60%. Additionally, the company expects a significant impact from its e-commerce pilot in 2025, suggesting a strong demand outlook for its products.

However, there is a notable risk regarding the e-commerce segment still being in a pilot phase, which signifies that immediate financial contributions are expected to be min"
gpt-4o-mini,APP,2024,2,GAINER,AppLovin Corporation,Technology,True,,40.68,UP,0.7,87.66,True,17392,434,17826,0.09347,"The earnings call showcases substantial growth metrics for AppLovin, particularly in revenues and adjusted EBITDA, indicating strong operational performance and confidence in future growth driven by technological advancements. However, the increased debt levels and the slow overall growth in the mobile gaming market remain significant risks that could hinder stock price appreciation in the short term.

**Summary: The anticipated revenue growth of 20% to 30% for the software business signals opti"
gpt-4o-mini,TSLA,2024,3,GAINER,"Tesla, Inc.",Consumer Cyclical,True,,46.12,UP,0.6,82.18,True,28446,418,28864,0.1485,"Tesla's strong quarterly performance, including record operating cash flows of $6.3 billion and a projected vehicle growth rate of 20% to 30% next year, showcases positive momentum that could attract investors in the near term. However, concerns about pressure on automotive margins due to declining average selling prices (ASPs) amid a challenging economic landscape present a significant risk.

**Summary: The single most important 30D driver is the projected vehicle growth rate of 20% to 30%, ind"
gpt-4o-mini,PLTR,2024,3,GAINER,Palantir Technologies,Technology,True,,43.4,UP,0.8,72.69,True,22227,544,22771,0.119295,"Palantir's Q3 2024 earnings call reflects strong financial growth, highlighted by a 30% year-over-year revenue increase and 44% growth in its U.S. business. The company is seeing a robust demand surge driven by AI applications, and it is significantly raising its guidance for revenue and adjusted income for the future, suggesting favorable market conditions.

However, challenges remain regarding international commercial revenue, which has faced setbacks and currently shows a decline. This ongoin"
gpt-4o-mini,TTD,2024,4,LOSER,"The Trade Desk, Inc.",Technology,True,,45.05,UP,0.6,-54.31,False,30533,382,30915,0.158395,"The Trade Desk has reported strong financial performance with a record Q4 of over $2.4 billion in revenue and a 26% year-over-year growth, indicating robust operational efficiency. However, the company acknowledged a shortfall in their earnings expectations for the first time in eight years due to several execution missteps, creating uncertainty that could lead to volatility in the near term.

**Summary: The single most important 30D driver is the expected acceleration in growth driven by the st"
gpt-4o-mini,MRNA,2024,2,LOSER,Moderna,Healthcare,True,,43.6,DOWN,0.4,-42.73,True,27869,501,28370,0.14686,"Moderna's recent earnings call indicates a cautious outlook due to lowered guidance for 2024, which anticipates net product sales of only $3.0 to $3.5 billion, down from expectations based on prior performance. This shift is primarily driven by increased competition in both the COVID and RSV vaccine markets, leading management to predict lower sales and share compared to established players, suggesting an erosion of market confidence.

**Summary: The most significant driver influencing stock per"
gpt-4o-mini,COIN,2024,4,LOSER,Coinbase Global,Financial Services,True,,46.67,UP,0.7,-42.23,False,26243,438,26681,0.137785,"The earnings call reveals strong financial performance and an optimistic outlook for Coinbase, with notable revenue growth and market expansion anticipated under favorable regulatory conditions. However, increasing operational expenses and potential challenges in profitability due to declining stablecoin revenue present uncertainties that could affect the stock's short-term performance.

**Summary: The most significant driver for the next 30 trading days is Coinbase's projected revenue growth, w"
gpt-4o-mini,EPAM,2024,4,LOSER,EPAM Systems,Technology,True,,49.97,NEUTRAL,0.5,-39.73,False,26776,362,27138,0.13931,"Despite a return to organic revenue growth and some encouraging signals regarding improving client sentiment, concerns about cash flow and ongoing price sensitivity create a mixed outlook for EPAM in the near term. 

**Summary: The notable 7.9% year-over-year growth in revenue illustrates a positive turnaround, indicating client confidence that could bode well for the next 30 days. However, with cash flow down to $130 million from $171 million, there are significant liquidity concerns that could"
gpt-4o-mini,XYZ,2024,4,LOSER,"Block, Inc.",Technology,True,,49.7,UP,0.8,-39.48,False,23064,396,23460,0.12126,"The earnings call transcript reveals several positive trends and guidance about Block's business trajectory, bolstering potential investor confidence. Notably, the company reported an impressive 18% year-over-year growth in gross profit, significant improvements in adjusted EBITDA, and completed a successful year with strong product launches and strategic initiatives set for 2025.

**Summary: The most critical driver for the next 30 trading days is the guidance for strong gross profit growth of "
gpt-5-mini,SMCI,2024,2,GAINER,Supermicro,Technology,True,,156.51,NEUTRAL,0.5,139.68,False,24726,8800,33526,8.9889,"The quarter delivered a dramatic revenue and EPS beat with raised full‑year guidance, signaling strong near‑term demand and backlog for AI/rack solutions; however, the company swung to large negative operating cash flow, executed an equity raise, and guided to slightly lower gross margins as it pushes for share gains. These offsetting forces leave the stock's near‑term path uncertain, so I view the next 30 trading days as effectively neutral.

**Summary: The single most important 30D driver is r"
gpt-5-mini,APP,2024,3,GAINER,AppLovin Corporation,Technology,True,,143.25,NEUTRAL,0.5,102.31,False,22319,5709,28028,6.77325,"Starting from a neutral baseline (5), I see offsetting near-term forces: strong Q3 results, robust free cash flow and an enlarged buyback authorization that are supportive, versus explicitly disclosed one-off tailwinds to margins and near-term investment/vesting costs that could compress flow-through. Because the bullish and bearish drivers are both concrete and likely to be debated by investors over the next few weeks, I keep a neutral stance for the T+30 window.

**Summary: The single most imp"
gpt-5-mini,APP,2024,2,GAINER,AppLovin Corporation,Technology,True,,138.0,UP,0.7,87.66,True,19883,5669,25552,6.38385,"AppLovin’s print and guidance show clear operational momentum — especially in the high‑margin software segment — and strong FCF plus ongoing buybacks that are likely to support the share price near-term. Offsetting this is concentration risk (software carries most of the earnings) and aggressive use of FCF for withhold/repurchases amid elevated debt and a modest QoQ apps revenue decline, which could temper upside.

**Summary: The primary 30‑day bullish driver is the company’s Q2 operating streng"
gpt-5-mini,TSLA,2024,3,GAINER,"Tesla, Inc.",Consumer Cyclical,True,,152.81,UP,0.7,82.18,True,31921,7716,39637,9.41775,"Tesla’s Q3 call gives a modestly bullish near-term signal: record operating cash flow ($6.3B) and very strong energy margins (>30%) plus clear Megapack run-rate improvements provide immediate liquidity and margin tailwinds into the next quarter. Offsetting this, management explicitly warned ASP compression from financing incentives and said sustaining Q4 margins will be challenging while CapEx is being stepped up (>$11B guidance, 50k GPUs, semi/Cybercab investments), creating a near-term tradeof"
gpt-5-mini,PLTR,2024,3,GAINER,Palantir Technologies,Technology,True,,144.01,UP,0.7,72.69,True,25192,7183,32375,8.0886,"Palantir delivered a clearly strong quarter with accelerating U.S. momentum, raised full‑year guidance and record trailing‑12M adjusted free cash flow, which should drive positive analyst revisions and investor sentiment over the next month. Offsetting risks are concentrated international sequential weakness and a few company‑specific items (customer concentration and the potential for accelerated stock‑based compensation if market‑vesting triggers hit) that could cap upside or induce near‑term "
gpt-5-mini,TTD,2024,4,LOSER,"The Trade Desk, Inc.",Technology,True,,133.52,DOWN,0.4,-54.31,True,32650,5254,37904,8.0499,"I expect a modest near-term Down bias for The Trade Desk over the next 30 trading days. The strongest near-term support is the company’s very healthy cash and cash-generation profile (≈$1.9B in cash/short‑term investments, full‑year FCF >$600M) plus an expanded $1B buyback authorization (~$464M remaining) that can be deployed opportunistically; the key offset is a company-specific credibility hit from missing internal expectations for the first time in 33 quarters, plus management’s warning of m"
gpt-5-mini,MRNA,2024,2,LOSER,Moderna,Healthcare,True,,153.33,DOWN,0.4,-42.73,True,31254,6978,38232,8.8749,"Moderna’s print balances real near-term commercial catalysts with clear demand risks; I expect modest negative pressure over the next ~30 trading days as investors weigh lowered revenue outlook and EU contract weakness against upcoming launches and substantial cash/cost cuts. The evidence of sizable guidance cuts and competitive pressure likely dominates sentiment near term, though pipeline news and shipping readiness cap downside.

**Summary: The most important 30‑day driver is near‑term commer"
gpt-5-mini,COIN,2024,4,LOSER,Coinbase Global,Financial Services,True,,118.23,UP,0.6,-42.23,False,29665,6632,36297,8.42895,"Company delivered a blowout Q4 and strong start to Q1 (Q4 revenue run-rate that doubled FY revenue to $6.6B, Q1 YTD transaction revenue ~$750M, MTUs +24% to 9.7M) and management is explicitly citing immediate regulatory tailwinds (SAB rescission, pro‑crypto administration/congress) — both are near‑term sentiment catalysts. Offsetting that, reported net income was materially helped by ~$476M pretax unrealized crypto gains (subject to reversal) and management reiterated wide S&M/expense guidance t"
gpt-5-mini,EPAM,2024,4,LOSER,EPAM Systems,Technology,True,,129.2,DOWN,0.3,-39.73,True,30338,4734,35072,7.3911,"EPAM’s quarter showed real top-line momentum (Q4 revenue $1.25B, reported +7.9% YoY; organic +1% CC) and management pointed to accelerating GenAI engagements (about $50M of AI‑native revenue in Q4) and sequential project starts into February — factors that support modest upside. Offsetting this, near‑term profitability and cash concerns are explicit: management guided materially lower near‑term margins (Q1 non‑GAAP IFO 12.5–13.5% and FY 14.5–15.5% vs 16.5% in 2024), cited wage/retention-driven c"
gpt-5-mini,XYZ,2024,4,LOSER,"Block, Inc.",Technology,True,,127.31,UP,0.6,-39.48,False,26547,6134,32681,7.66245,"Block's Q4 call presented a strong profitability inflection (adj. EBITDA up 69%, adj. OI >4.5x, adj. FCF $2.07B) and management kept FY‑2025 gross profit guidance (≥15% to ≥$10.22B) while launching growth catalysts (Afterpay on Cash App Card, Cash App Borrow expansion, Proto mining rollout), which should provide positive sentiment into the next 30 trading days. Counterbalancing that, management explicitly flagged Q1 as the low point due to leap‑year, FX and tough banking/Bitcoin comps and is ram"
